ID_MSMLS	PRIMARY_NAME	SMILES	MOLECULAR_FORMULA	KEGG ID_CSID	CAS ID	HMDB/YMDB ID	NEUTRAL MONOISOTOPIC MOLECULAR MASS	METLIN_ID	PC_CID	PC_SID	ChEBI	id_Mzmine	score_cosine	precursor_mz	rt	intensity	GNPS_Compound_Name	LibraryName	MQScore	MZErrorPPM	SharedPeaks	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct.1	Precursor_MZ.1	Library_Class	IonMode	LibraryQualityString	Compound_Name-Topk=10	NumberHits
388	GLUCONOLACTONE	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	C6H10O6	C00198	90-80-2	HMDB0000150	178.04774	353	7027	24895089	16217	335	1	179.05513	1.0089	1121684.2	"""GLUCONO-1,5-LACTONE"""	MONA.mgf	0.926121	0.681748	8	ESI	qTof	isolated	MoNA	MoNA:MoNA032318	M+H	179.055	3	positive	Bronze	"""GLUCONO-1,5-LACTONE"""	7
391	CORTISOL	[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	C21H30O5	C00735	50-23-7	HMDB0000063	362.20932407	272	5754	24278466	17650	909	0.972	363.21674	10.41728	34207772	Cortisol	GNPS-LIBRARY.mgf	0.928604	1.84845	15	LC-ESI	qTof	Commercial	Aldo Moreno Ulloa	Aldo Moreno Ulloa	M+H	363.216	3	Positive	Bronze	Cortisol	10
394	XANTHURENATE	OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1	C10H7NO4	C02470	59-00-7	HMDB0000881	205.037507717	5841	5699	24893378	10072	1597	1	206.04492	6.88706	59802068	xanthurenic acid CollisionEnergy:205060	BERKELEY-LAB.mgf	0.966554	0.0740556	3	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	206.045	3	Positive	Bronze	xanthurenic acid CollisionEnergy:205060	10
398	MELATONIN	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1	C13H16N2O2	C01598	73-31-4	HMDB0001389	232.121177766	73	896	24278103	16796	2102	1	233.12852	9.52072	148488690	Melatonin_CE30	WFSR-LIBRARY.mgf	0.983051	1.83266	8	ESI	Orbitrap	Commercial	Federico Padilla-Gonzalez	"""Sjors Rasker, Wout Bergkamp"""	M+H	233.129	1	Positive	Gold	Melatonin_CE30	10
405	KYNURENATE	OC(=O)C1=CC(=O)C2=CC=CC=C2N1	C10H7NO3	C01717	492-27-3	HMDB0000715	189.042593095	5683	3845	24277986	18344	3547	0.999	190.04994	7.07925	129555070	kynurenic acid CollisionEnergy:205060	BERKELEY-LAB.mgf	0.988051	0.883171	4	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	190.05	3	Positive	Bronze	kynurenic acid CollisionEnergy:205060	10
410	3,5-DIIODO-L-TYROSINE	[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O (3,5-DIIODO-L-TYROSINE)	C9H9I2NO3	C01060	300-39-0	HMDB0003474 (3,5-DIIODO-L-TYROSINE)	432.867179999	985	9305	24893289	15768	4340	1	433.875	7.78314	43248572	3,5-DIIODO-L-TYROSINE - 40.0 eV	GNPS-LIBRARY.mgf	0.9064	2.2508	14	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	433.874	1	Positive	Gold	3,5-DIIODO-L-TYROSINE - 40.0 eV	10
413	4-AMINOBENZOATE	NC1=CC=C(C=C1)C(O)=O	C7H7NO2	C00568	150-13-0	HMDB0001392	137.047678473	3261	978	24891403	30753	5043	0.991	138.05502	5.8868	107481990	4-AMINOBENZOIC ACID	MONA.mgf	0.958617	0.110527	6	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038715	M+H	138.055	3	positive	Bronze	4-AMINOBENZOIC ACID	10
416	CAFFEATE	OC(=O)\C=C/C1=CC=C(O)C(O)=C1	C9H8O4	C01481	331-39-5	HMDB0001964	180.042258744	3316	689043	24278290	16433	5178	1	181.04965	7.74805	1726309.5	Spectral Match to Caffeic acid from NIST14	GNPS-NIST14-MATCHES.mgf	0.91719	34.8062	5	ESI	qTof	Isolated	Data from Pieter Dorrestein	Data deposited by dfloros	M+H	181.056	3	Positive	Bronze	Spectral Match to Caffeic acid from NIST14	10
419	N-ACETYLPHENYLALANINE	CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	C11H13NO3	C03519	2018-61-3	HMDB0000512	207.089543287	5498	74839	24888445	16259	6294	1	208.09676	8.49352	43217324	Candidate Phenylalanine-C2:0 (delta mass:42.0106)	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.990907	1.02656	8	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	208.097	4	Positive	Insilico	Candidate Phenylalanine-C2:0 (delta mass:42.0106)	10
420	N-ACETYLPROLINE	[H][C@]1(CCCN1C(C)=O)C(O)=O	C7H11NO3	CSID59528	68-95-1	HMDB0094701	157.073894	NA	66141	24890453	21560	6471	0.978	158.08128	5.65715	73565910	N-ACETYLPROLINE	GNPS-MSMLS.mgf	0.977275	1.9305	3	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	158.081	1	Positive	Gold	N-ACETYLPROLINE	10
